Species,Barcode,State,Variegation,Long_petiole_hair,Short_petiole_hair,Upper_lamina_hair,Tooth_length,Tooth_Width,Flower_length,Hypanthium_long,Hypanthium_short,Flower_width,Stamen_length,Style_length,Pedicel_lengths,Cymule_branches,Thyrse_length
Heuchera americana var. americana,E1687,Oklahoma,,0.000,0.000,0.000,,,3.716,1.668,1.458,1.965,4.766,3.915,3.455,18.951,539.703
Heuchera americana var. americana,E523,Pennsylvania,None,0.000,0.000,0.000,1.571,6.192,3.664,1.361,1.036,1.500,4.252,4.474,5.041,18.446,823.122
Heuchera americana var. americana,E523,Pennsylvania,None,0.000,0.000,0.000,1.689,6.149,3.905,0.992,0.928,1.841,4.362,3.183,3.850,36.019,732.042
Heuchera americana var. americana,E523,Pennsylvania,None,0.000,0.000,0.000,1.626,5.177,4.019,1.532,1.339,1.488,4.702,3.858,6.783,33.136,
Heuchera americana var. americana,E1691,Pennsylvania,None,0.000,0.000,0.000,1.234,4.570,3.234,1.396,1.350,2.576,3.110,2.723,4.895,18.914,743.884
Heuchera americana var. americana,E1691,Pennsylvania,None,0.000,0.000,0.000,1.257,5.124,3.393,1.081,1.072,1.387,3.799,3.307,9.402,19.684,880.285
Heuchera americana var. americana,E1691,Pennsylvania,None,0.000,0.000,0.000,1.316,5.526,3.038,1.587,1.544,1.945,4.087,3.534,6.122,26.519,
Heuchera americana var. americana,E1689,Pennsylvania,None,0.000,0.000,0.000,1.473,5.631,4.600,1.606,1.227,2.109,3.604,3.871,8.143,61.502,665.444
Heuchera americana var. americana,E1689,Pennsylvania,None,0.000,0.000,0.000,,,,,,,,,7.339,43.118,
Heuchera americana var. americana,E1689,Pennsylvania,None,0.000,0.000,0.000,,,,,,,,,7.620,44.331,
Heuchera americana var. americana,E36,South Carolina,None,0.000,0.000,0.000,1.468,4.002,2.299,1.089,1.012,1.570,3.344,2.797,4.070,15.531,702.055
Heuchera americana var. americana,E36,South Carolina,None,0.000,0.000,0.000,1.651,3.712,2.916,1.353,1.040,1.210,3.113,3.855,5.455,11.904,
Heuchera americana var. americana,E36,South Carolina,None,0.000,0.000,0.000,1.351,3.780,2.805,0.867,0.794,2.070,2.815,3.478,2.807,12.742,
Heuchera americana var. americana,E1419,South Carolina,None,0.000,0.000,0.000,1.351,3.581,3.572,0.932,0.805,2.307,4.414,2.979,3.540,12.681,721.409
Heuchera americana var. americana,E1419,South Carolina,None,0.000,0.000,0.000,2.234,7.535,4.568,1.623,1.459,2.565,3.887,2.898,3.909,18.743,586.156
Heuchera americana var. americana,E1419,South Carolina,None,0.000,0.000,0.000,1.920,4.528,3.456,1.504,1.132,2.121,4.367,4.624,5.918,17.606,
Heuchera americana var. americana,E1422,South Carolina,,0.000,0.000,0.000,1.328,5.074,4.075,1.969,1.865,2.767,3.021,3.987,7.582,14.168,
Heuchera americana var. americana,E1422,South Carolina,,0.000,0.000,0.000,1.822,5.885,2.643,0.778,0.375,1.875,,4.138,4.742,10.563,
Heuchera americana var. americana,E1422,South Carolina,,0.000,0.000,0.000,,,,,,,,,,,
Heuchera americana var. americana,E1476,Tennessee,Low,0.000,0.000,0.000,2.174,5.455,3.822,0.694,0.573,2.645,4.750,5.240,2.416,16.421,713.468
Heuchera americana var. americana,E1476,Tennessee,Low,0.000,0.000,0.000,2.649,6.223,4.393,1.271,1.085,2.778,4.608,4.697,3.218,24.195,
Heuchera americana var. americana,E1476,Tennessee,None,0.000,0.000,0.000,2.177,4.980,3.722,0.697,0.482,2.525,4.599,4.124,3.123,20.695,
Heuchera americana var. americana,E1692,Texas,,0.000,0.000,0.000,1.567,3.776,4.680,1.314,1.233,2.491,4.919,4.815,2.473,15.706,
Heuchera americana var. americana,E1692,Texas,,0.000,0.000,0.000,1.215,3.878,4.636,1.087,0.808,2.563,5.041,4.279,6.494,19.300,
Heuchera americana var. americana,E1692,Texas,,0.000,0.000,0.000,1.457,3.746,4.966,1.707,1.618,2.859,4.941,4.961,3.492,15.236,
Heuchera americana var. brevipetala,E1517,Arkansas,None,0.000,0.000,0.000,4.327,10.264,3.404,1.176,1.105,1.745,4.757,,3.593,21.429,611.546
Heuchera americana var. brevipetala,E1517,Arkansas,,0.000,0.000,0.000,3.832,9.113,3.540,1.609,1.476,1.449,4.291,3.814,2.482,16.744,655.952
Heuchera americana var. brevipetala,E1517,Arkansas,,0.000,0.000,0.000,6.490,10.680,4.019,0.960,0.916,3.564,4.196,3.876,3.805,13.739,696.427
Heuchera americana var. brevipetala,E1518,Arkansas,Low,0.000,0.000,0.000,2.511,7.423,4.350,1.779,1.745,2.675,3.216,3.290,2.664,18.072,709.482
Heuchera americana var. brevipetala,E1518,Arkansas,,0.000,0.000,0.000,1.613,5.944,4.730,1.611,1.399,2.806,2.945,4.712,2.511,32.643,
Heuchera americana var. brevipetala,E1518,Arkansas,,0.000,0.000,0.000,1.913,7.251,,,,,,,,12.417,
Heuchera americana var. brevipetala,E1465,Kentucky,None,0.000,0.000,0.000,2.575,5.524,3.411,0.423,0.386,2.605,2.685,2.127,5.625,13.703,662.319
Heuchera americana var. brevipetala,E1465,Kentucky,None,0.000,0.000,0.000,1.196,3.608,2.911,0.889,0.883,2.396,3.463,2.852,5.389,20.375,581.949
Heuchera americana var. brevipetala,E1465,Kentucky,,0.000,0.000,0.000,1.493,4.932,2.960,0.898,0.629,2.238,4.297,3.327,3.170,12.349,
Heuchera americana var. brevipetala,E443,Kentucky,High,0.000,0.000,0.000,1.523,5.595,3.603,1.907,1.905,1.454,3.708,3.449,2.199,26.120,792.803
Heuchera americana var. brevipetala,E443,Kentucky,High,0.000,0.000,0.000,2.495,6.623,3.342,1.179,0.954,2.490,4.032,,4.203,15.402,
Heuchera americana var. brevipetala,E443,Kentucky,Medium,0.000,0.000,0.000,1.325,4.380,,,,,3.938,,3.396,13.666,
