Species,Barcode,State,Variegation,Long_petiole_hair,Short_petiole_hair,Upper_lamina_hair,Tooth_length,Tooth_Width,Flower_length,Hypanthium_long,Hypanthium_short,Flower_width,Stamen_length,Style_length,Pedicel_lengths,Cymule_branches,Thyrse_length
BREVIPETALA,E523,Pennsylvania,None,0.000,0.000,0.000,5.177,1.626,4.019,1.532,1.339,1.488,4.702,3.858,6.783,33.136,
BREVIPETALA,E1691,Pennsylvania,None,0.000,0.000,0.000,4.570,1.234,3.234,1.396,1.350,2.576,3.110,2.723,4.895,18.914,743.884
BREVIPETALA,E1691,Pennsylvania,None,0.000,0.000,0.000,5.124,1.257,3.393,1.081,1.072,1.387,3.799,3.307,9.402,19.684,880.285
BREVIPETALA,E1691,Pennsylvania,None,0.000,0.000,0.000,5.526,1.316,3.038,1.587,1.544,1.945,4.087,3.534,6.122,26.519,
BREVIPETALA,E1689,Pennsylvania,None,0.000,0.000,0.000,5.631,1.473,4.600,1.606,1.227,2.109,3.604,3.871,8.143,61.502,665.444
BREVIPETALA,E1689,Pennsylvania,None,0.000,0.000,0.000,,,,,,,,,7.339,43.118,
BREVIPETALA,E1689,Pennsylvania,None,0.000,0.000,0.000,,,,,,,,,7.620,44.331,
AMERICANA,E36,South Carolina,None,0.000,0.000,0.000,4.002,1.468,2.299,1.089,1.012,1.570,3.344,2.797,4.070,15.531,702.055
AMERICANA,E36,South Carolina,None,0.000,0.000,0.000,3.712,1.651,2.916,1.353,1.040,1.210,3.113,3.855,5.455,11.904,
AMERICANA,E36,South Carolina,None,0.000,0.000,0.000,3.780,1.351,2.805,0.867,0.794,2.070,2.815,3.478,2.807,12.742,
AMERICANA,E1419,South Carolina,None,0.000,0.000,0.000,3.581,1.351,3.572,0.932,0.805,2.307,4.414,2.979,3.540,12.681,721.409
AMERICANA,E1419,South Carolina,None,0.000,0.000,0.000,7.535,2.234,4.568,1.623,1.459,2.565,3.887,2.898,3.909,18.743,586.156
AMERICANA,E1419,South Carolina,None,0.000,0.000,0.000,4.528,1.920,3.456,1.504,1.132,2.121,4.367,4.624,5.918,17.606,
AMERICANA,E1422,South Carolina,,0.000,0.000,0.000,5.074,1.328,4.075,1.969,1.865,2.767,3.021,3.987,7.582,14.168,
AMERICANA,E1422,South Carolina,,0.000,0.000,0.000,5.885,1.822,2.643,0.778,0.375,1.875,,4.138,4.742,10.563,
AMERICANA,E1422,South Carolina,,0.000,0.000,0.000,,,,,,,,,,,
BREVIPETALA,E1476,Tennessee,Low,0.000,0.000,0.000,5.455,2.174,3.822,0.694,0.573,2.645,4.750,5.240,2.416,16.421,713.468
BREVIPETALA,E1476,Tennessee,Low,0.000,0.000,0.000,6.223,2.649,4.393,1.271,1.085,2.778,4.608,4.697,3.218,24.195,
BREVIPETALA,E1476,Tennessee,None,0.000,0.000,0.000,4.980,2.177,3.722,0.697,0.482,2.525,4.599,4.124,3.123,20.695,
BREVIPETALA,E1692,Texas,,0.000,0.000,0.000,3.776,1.567,4.680,1.314,1.233,2.491,4.919,4.815,2.473,15.706,
BREVIPETALA,E1692,Texas,,0.000,0.000,0.000,3.878,1.215,4.636,1.087,0.808,2.563,5.041,4.279,6.494,19.300,
BREVIPETALA,E1692,Texas,,0.000,0.000,0.000,3.746,1.457,4.966,1.707,1.618,2.859,4.941,4.961,3.492,15.236,
BREVIPETALA,E1517,Arkansas,None,0.000,0.000,0.000,10.264,4.327,3.404,1.176,1.105,1.745,4.757,,3.593,21.429,611.546
BREVIPETALA,E1517,Arkansas,,0.000,0.000,0.000,9.113,3.832,3.540,1.609,1.476,1.449,4.291,3.814,2.482,16.744,655.952
BREVIPETALA,E1517,Arkansas,,0.000,0.000,0.000,10.680,6.490,4.019,0.960,0.916,3.564,4.196,3.876,3.805,13.739,696.427
BREVIPETALA,E1518,Arkansas,Low,0.000,0.000,0.000,7.423,2.511,4.350,1.779,1.745,2.675,3.216,3.290,2.664,18.072,709.482
BREVIPETALA,E1518,Arkansas,,0.000,0.000,0.000,5.944,1.613,4.730,1.611,1.399,2.806,2.945,4.712,2.511,32.643,
BREVIPETALA,E1518,Arkansas,,0.000,0.000,0.000,7.251,1.913,,,,,,,,12.417,
BREVIPETALA,E1465,Kentucky,None,0.000,0.000,0.000,5.524,2.575,3.411,0.423,0.386,2.605,2.685,2.127,5.625,13.703,662.319
BREVIPETALA,E1465,Kentucky,None,0.000,0.000,0.000,3.608,1.196,2.911,0.889,0.883,2.396,3.463,2.852,5.389,20.375,581.949
BREVIPETALA,E1465,Kentucky,,0.000,0.000,0.000,4.932,1.493,2.960,0.898,0.629,2.238,4.297,3.327,3.170,12.349,
BREVIPETALA,E443,Kentucky,High,0.000,0.000,0.000,5.595,1.523,3.603,1.907,1.905,1.454,3.708,3.449,2.199,26.120,792.803
BREVIPETALA,E443,Kentucky,High,0.000,0.000,0.000,6.623,2.495,3.342,1.179,0.954,2.490,4.032,,4.203,15.402,
BREVIPETALA,E443,Kentucky,Medium,0.000,0.000,0.000,4.380,1.325,,,,,3.938,,3.396,13.666,
BREVIPETALA,E1464,Kentucky,None,0.000,0.000,0.000,7.837,4.295,4.197,,,1.273,3.177,4.271,3.686,10.390,
BREVIPETALA,E1464,Kentucky,None,0.000,0.000,0.000,5.894,3.683,4.884,1.414,1.176,2.531,4.111,3.999,6.633,10.687,
BREVIPETALA,E1464,Kentucky,None,0.000,0.000,0.000,4.277,1.302,4.350,1.845,1.661,2.732,3.986,4.228,4.464,5.711,478.970
BREVIPETALA,E520,Louisiana,None,0.000,0.000,0.000,5.585,3.094,4.077,1.295,1.047,2.220,3.781,4.639,6.680,8.948,
BREVIPETALA,E520,Louisiana,None,0.000,0.000,0.000,6.877,3.180,4.599,2.309,1.663,1.492,3.796,2.391,5.411,7.762,
BREVIPETALA,E520,Louisiana,None,0.000,0.000,0.000,6.930,2.923,3.772,1.583,1.426,1.522,3.382,,4.614,9.504,586.104
BREVIPETALA,E1520,Louisiana,None,0.000,0.000,0.000,3.641,1.463,4.113,1.079,0.837,2.426,3.511,5.248,5.561,11.415,621.041
BREVIPETALA,E1520,Louisiana,None,0.000,0.000,0.000,5.432,2.663,4.255,1.585,1.251,2.659,5.501,4.733,5/939,11.282,
BREVIPETALA,E1520,Louisiana,None,0.000,0.000,0.000,,,3.961,1.642,0.919,1.960,4.013,3.552,3.062,10.647,
AMERICANA,E1521,Maryland,None,0.000,0.000,0.000,4.106,1.405,3.417,,,2.952,3.813,3.501,3.410,13.284,702.216
AMERICANA,E1521,Maryland,Low,0.000,0.000,0.000,5.252,2.362,,,,,,,,,
AMERICANA,E1521,Maryland,Low,0.000,0.000,0.000,3.008,1.053,,,,,,,,,
BREVIPETALA,E1469,Tennessee,None,0.000,0.000,0.000,7.439,3.406,3.487,1.055,0.821,2.159,4.069,3.469,2.366,23.083,401.698
BREVIPETALA,E1469,Tennessee,Low,0.000,0.000,0.000,6.593,2.221,2.793,0.840,0.804,2.433,3.771,4.157,2.607,13.640,861.709
BREVIPETALA,E1469,Tennessee,None,0.000,0.000,0.000,3.207,2.139,2.593,0.993,0.886,1.524,4.515,3.548,2.400,12.630,847.381
BREVIPETALA,E1474,Tennessee,None,0.000,0.000,0.000,,,3.792,1.593,1.308,1.974,3.421,3.112,3.676,11.606,
BREVIPETALA,E1474,Tennessee,None,0.000,0.000,0.000,,,3.010,0.727,0.712,2.492,3.255,4.613,2.681,11.928,
BREVIPETALA,E1474,Tennessee,Low,0.000,0.000,0.000,,,2.992,1.375,1.192,1.430,2.882,5.830,4.159,12.566,870.557
BREVIPETALA,E1471,Tennessee,None,0.000,0.000,1.550,4.582,1.518,,,,,,,,,
BREVIPETALA,E1471,Tennessee,None,0.000,0.000,0.939,3.823,1.574,,,,,,,,,
BREVIPETALA,E1471,Tennessee,None,0.000,0.000,0.749,5.259,1.782,,,,,,,,,
